ID,Mass,R7S1,R7S2,R7S3,R7S4,R7S5,R7S6,R7S7,R7S8,R7S9,R7S10,R7S11,R7S12,R7S13,R7S14,R7S15,R8S1,R8S2,R8S3,R8S4,R8S5,R8S6,R8S7,R8S8,R8S9,R8S10,R8S11,R8S12,R8S13,R8S14,R8S15,R9S1,R9S2,R9S3,R9S4,R9S5,R9S6,R9S7,R9S8,R9S9,R9S10,R9S11,R9S12,R9S13,R9S14,R9S15
4015,343.0882,3527765,4164197,0,0,0,3392545,2907171,0,4385285,2981070,0,0,3140466,3302419,3723118,2942892,3522896,3100011,0,0,2903130,3716274,3358727,3339321,0,3206996,3966959,0,0,0,2763007,4155678,3369660,0,0,3570476,0,0,3565962,3269311,0,0,0,4316632,0
4017,343.0969,3725400,4576873,3629998,0,0,6328357,0,2995962,0,6291665,0,0,2855286,4520984,0,3006384,3589460,4322671,0,3011116,0,0,0,5210173,2718821,0,4120562,4248727,0,0,3719939,3449122,4017856,2867273,0,5477168,0,0,3705230,4589251,0,0,2803026,3359196,0
4018,343.1034,20549722,29520492,26401712,22027014,25114722,28110888,21879850,18088702,24738316,23302356,12478299,10486433,16679802,25352218,23990134,24254388,29956440,24530288,16943730,24645166,14437473,25530552,24747022,25654336,21592680,23127898,22568948,16943258,16403168,26514650,25768710,28793124,27235010,25589324,19727956,29745972,18224788,24376686,23744912,24392390,26432000,14999726,21841238,20009440,21595174
4021,343.1246,35704932,61174388,49822652,35003148,41662572,53801012,44203060,34341640,45300244,47165660,22271844,18039466,30581636,46626852,42397568,48396224,64764256,48754040,31267452,43200056,29482090,49901760,47791128,42857544,38173296,42788708,45957116,29833376,32381676,42382564,51262224,60913964,55620300,49411668,36669020,55739196,36394652,44217720,40317336,49541836,50409992,24379576,32802142,34648552,39740468
4024,343.1762,33173620,40759948,35781584,38484772,44464264,44036172,38329424,28295970,39852588,41726192,16594811,15024836,25977760,41121852,45150104,41957336,45365624,36810124,27245200,37629512,18529412,40890584,39164976,40907872,38673024,38365048,40149012,27941040,26090246,46249208,46707492,47315268,40301280,44103276,39945844,41943892,32487086,44037520,38801840,37835492,42971680,21119182,37758328,37966340,32851024
4025,343.1987,4720765,9003668,7664603,0,2838162,8140890,5420122,4575022,6111799,5875961,0,0,3433388,7114821,0,10516453,4477317,6690195,6666906,9000530,4415630,3459298,6642745,9768044,4089482,4263811,4123675,4346039,6791953,2870529,3484463,4021580,8004332,4122229,0,7502687,4452021,3113369,6699451,6030060,3382824,3570904,0,3077647,5592156
4026,343.2126,3685506,3662490,4273121,0,3355289,4110433,2895969,0,0,3486975,0,0,0,4389964,3301290,3658733,4280716,4301208,2832032,3953239,0,3774695,3821631,3468403,0,3770248,2868257,0,2816792,3212550,3271477,4140370,3520242,4452987,0,3951461,3573434,3922336,2792641,4896497,4529710,0,3431815,3446294,3811427
4033,344.0401,0,3525115,0,0,0,0,0,0,8072118,0,0,0,0,0,0,3820959,0,3091653,6460408,3419023,10337821,7117390,0,6786549,3047365,5855462,0,0,0,0,0,0,0,3108833,0,14603485,0,0,0,0,0,5200460,0,0,0
4034,344.0446,0,0,0,0,0,2854415,3165694,0,0,0,0,0,0,0,0,0,0,0,0,3210129,0,0,0,2909687,0,0,0,0,0,0,0,0,0,0,2829278,0,0,0,0,0,0,0,0,0,0
4037,344.0704,3158451,3046920,2873695,3071124,0,3280412,2839051,0,3488707,3715666,0,0,0,3321294,0,0,3604261,0,0,2727835,0,3267163,3052992,3597827,0,0,0,0,0,3939940,3809448,4320952,3433571,0,4178921,3756267,0,2772908,3530554,0,3658644,0,0,2763716,3296834
4038,344.0752,0,0,0,0,2733653,0,0,0,0,0,0,0,0,0,0,0,2981672,2895570,0,0,0,0,0,2950661,0,0,0,0,0,2931302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4040,344.0987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2987343,2780605,0,0,0,0,0,2755175,0,0,0,0,0,0,0,0,0,2744515,0,2810875,0,0,0,0,3792711,0,0,0,0,0,0
4041,344.1034,0,3023382,0,0,0,2842669,0,3855612,2986962,0,0,0,3796360,2949085,3545426,3469760,3454773,0,0,0,0,3052137,2998735,0,4163548,0,5206410,2831820,2950362,0,3407030,3677893,0,3356669,0,0,0,0,0,3999829,0,0,0,3344341,0
4042,344.1068,0,3821591,4293999,2826403,5089893,4677167,4370974,3357950,4861908,4363872,0,0,2871690,3348958,4783443,3696066,4937527,4061917,3397652,3584937,0,3806827,4619729,3109396,2718686,4490499,3380619,3614157,0,4695667,3581111,4278983,4885619,3900414,4774904,4387067,0,4550461,2957130,4306006,3321764,0,3607330,2937814,3528278
4043,344.1099,2814913,3251737,0,0,0,2967089,0,0,0,0,0,0,0,0,0,3847620,3364664,0,0,3025322,0,0,0,0,0,0,0,0,0,0,0,0,0,2727935,0,3521789,0,3219774,0,0,0,0,0,0,0
4044,344.1115,0,0,10624369,0,3545703,0,4578848,3041537,4223958,4496994,0,0,3726733,3852768,0,3966404,3417913,9182943,0,3814314,0,5753453,3684819,6010390,4116447,0,0,3668431,5362910,0,4094137,0,12674165,0,0,4450558,4582389,0,5507917,5277784,0,0,3114788,2726873,0
4047,344.1351,0,0,0,0,3474036,0,0,0,0,2810475,0,0,0,0,0,0,0,2781927,0,0,0,0,0,3076129,0,0,0,0,2807017,0,0,0,0,0,0,0,0,0,0,0,3204016,0,0,0,0
4049,344.1575,0,3832877,2966918,0,0,2945609,0,0,0,3038836,0,0,0,0,0,2983388,0,0,0,0,0,0,0,0,0,0,0,0,2856693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4051,344.1827,14250459,29365304,27098512,9254083,11123340,25571926,16637507,17855780,22543350,24539774,3960127,4165802,7060915,16488960,10453367,34544104,11578203,27201272,20741172,33599428,15445601,16286348,19185138,36828728,16948218,11643170,11608490,11889124,23772418,10729106,11769048,10447591,21509268,13109279,5130264,27936030,12240909,13051743,21672812,19219572,10036163,12358283,9307973,10664956,20924032
4074,345.0827,4224798,6798780,6233891,4418107,5141596,5000234,5300227,5040884,5895567,4766693,3331799,0,3807123,4892567,4409126,4906949,5281035,3741762,4139439,4372763,0,4187156,5797769,6031325,5545296,5313185,5202711,3015417,4594379,5789696,4832863,5874787,6129179,6011302,4133264,6334137,3470666,5448959,4342009,5082588,6032701,3893278,3866851,4147645,4939898
4075,345.0939,3157794,5412289,4638504,4826687,5258338,5145647,4474888,2974458,6829461,4321258,0,2838121,0,4951964,5774124,6448075,6567185,4902983,3909043,5914911,2856983,4836377,5572494,4988898,5128533,5037733,3968796,4034300,3507920,4127749,5903972,5723240,5602848,7096747,4637077,6454974,4138318,4624645,5330174,6004193,5682497,0,5755112,4374979,4382848
4077,345.1013,0,0,0,0,4739173,0,0,0,0,0,0,0,0,0,0,0,0,3753033,0,3471650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4314376,4147457,0,0,0,0,0,0
4078,345.1191,19718954,27407820,25935668,23150154,26205294,27071548,23019540,20285190,26729888,26596340,10654440,8908405,17782694,26368934,26252088,25336792,29490460,23310416,16907710,25366824,12890147,27481124,24960920,24573934,23354718,23407280,25494310,18922244,16260829,24664078,28333678,27999346,26105386,28752310,23202208,28583624,19937624,27474192,25408776,25032170,26719564,13378606,22087924,21730768,20555918
4080,345.1415,2821939,4919765,4818750,0,3068026,3939400,3716128,3375890,3904938,5399549,0,0,2879411,3529649,0,4999140,2930983,4428888,0,5728561,3728430,3614766,3876771,5242873,3935591,2758841,0,0,3813097,0,3109496,0,4011573,2871744,0,4590291,3735903,3029275,4037907,4262388,2944853,0,0,3045339,2859675
4081,345.1554,4702008,5770715,6158148,3879513,5064833,6435919,5023783,4172570,4076976,4796418,2934520,3748488,3616698,5772216,5729097,4490219,6026542,5294173,0,5282103,3599413,5196852,6371242,5666815,5359980,4870847,5751605,3871503,3023600,5904414,4755070,6278274,7515707,6818246,4319663,7018202,4024676,6265121,5563673,4519417,5619035,0,4849924,3437025,3955875
4082,345.1779,0,4857317,4445006,0,0,6798427,3543090,3106597,4295099,4283403,0,0,0,0,0,4422647,0,4033638,3624407,6869311,0,0,0,5421066,0,0,0,0,3169019,0,0,0,3642949,3319248,0,5768932,0,0,5053731,2835458,0,0,0,0,3892399
4084,345.1918,0,3050987,0,3676777,3719316,3580002,3403833,0,0,0,2724617,0,2787790,3732424,4293467,4035582,4327744,0,0,0,0,2775108,3192762,3304976,2853242,0,3227459,0,0,4381740,3545742,3119249,0,3578326,3639742,0,0,3948850,3602729,4014600,2926954,0,3930389,3190260,0
4085,345.2282,0,5002747,4033380,4046456,4502695,4695157,2969675,3992383,4026833,3767327,0,0,3493858,3748824,3809132,3860497,4907345,2789496,4603373,5253459,2990169,4966484,3744714,3004449,3793288,4766430,5234514,3417894,0,3113019,3507870,4991137,4623963,5331430,3343821,5365499,0,4792643,4171065,5034518,4801914,3617888,2910502,3037702,4847820
4092,346.0463,6108282,12392288,7858388,9232338,7489102,12400160,8002017,10135783,12726085,8988008,0,0,6640029,15633739,11670774,10423748,12046043,7010727,7167818,6552204,4148713,9602492,9711933,10627490,8289989,8272955,13718687,5430306,8181943,13068678,7833603,13667839,7350210,10906443,6925091,11581554,6894240,11889341,10585762,7386974,9762513,6532563,7873183,11380636,8506011
4094,346.0558,0,33920868,0,2725334,18894418,24565286,0,14293228,6762313,0,0,0,0,9059663,4275451,0,10272480,0,3895118,39793296,12476909,0,11223361,5628327,3388104,5987391,7840931,0,5017788,0,0,8900099,0,6128464,8557351,24627318,0,8059585,5069478,0,3575509,10036695,0,0,8274592
4099,346.078,0,0,0,0,0,0,0,0,2967891,3847541,0,0,0,0,0,0,0,0,0,0,0,3009994,0,0,0,0,0,0,0,2724243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4100,346.0827,10720391,16795504,10825956,17313762,12779104,14337587,10904051,11761914,16899926,12273014,3894436,4569174,8073649,11722075,9673991,14781911,17727212,8509876,10207066,12280473,6089211,11916748,14135629,13765044,11517651,11766858,22480046,8862765,7778505,10385813,14039059,19750416,10297298,13904731,14633778,17975426,9470637,15350478,13846194,9004909,12822240,10683875,12389040,13698990,8311471
4103,346.1191,4553877,3556224,5064949,3481585,4742771,4512327,4739589,4290829,3708774,4398469,0,0,3367365,3581292,3571993,8021483,4998910,4984258,0,5206696,0,5500381,4748638,4027845,5408481,3113050,6532284,0,0,3040676,7557155,4436511,6141923,3429227,3611457,3313811,4276922,3715807,4896450,4851579,2891504,4451828,0,0,0
4104,346.1224,2820246,3533697,5069047,3763186,4616821,3959368,3483143,2820366,3828584,3876231,0,0,3577287,4801901,4101403,3876332,5519104,2744771,3028843,3275433,0,4284894,4587872,4724167,4061922,0,0,0,0,5047717,4579364,3998240,4730852,4828013,3912515,6011029,3333819,4333280,4736707,3517309,4642545,0,3698370,3386306,3068102
4105,346.1256,4676759,7319427,7821560,0,5811831,6233674,5544457,6443280,6279017,7533960,0,0,3748296,6817135,4043036,9944558,3988226,7227845,5818221,11514538,3270160,6180319,6996321,10027464,4904676,4125789,3766463,0,6125791,3231654,4305958,5475874,7196645,4688750,0,8278167,4317884,4917986,8988357,7987070,3186930,0,4020932,3106243,5156552
4106,346.1272,3521688,0,9242873,0,0,9834059,5993994,4880657,6023018,6927753,0,0,0,3432815,0,8531439,0,7274949,4279149,5730987,3170833,5793248,0,8124873,5975781,2772061,0,7640123,4717792,0,3172390,0,7733222,3600239,0,6781079,3470013,4304611,3747525,4668287,0,3359224,5170885,4156356,3634889
4107,346.1619,12076196,22402962,22503688,8560643,12668553,25679452,19051034,16337187,22265722,23770518,5190856,4045949,7465436,15998335,9782574,29285890,10895123,21131730,20299644,32158392,14639650,16664047,18289010,32201178,14663410,14244972,11908302,13638725,19017970,9943477,13146165,9068081,21059574,13187966,6867795,24152232,12905161,11045618,22173396,17565580,9967362,11081224,9124564,9160661,17967836
4117,346.9934,5086676,2810114,3248768,5216615,5568568,5859345,6362040,3492564,7495923,4437736,0,0,4197286,4699897,7317184,4612030,5329062,4477705,0,5407737,0,5986145,3900140,6675299,5072954,4242896,8336929,4375878,3152541,7238405,6658466,4038554,4446567,5567724,4146351,4416038,3275762,7625844,4585540,3401947,4030560,3331974,4877397,5429616,5774518
4126,347.0554,5363179,7033118,7226013,4080002,6322264,7987250,6638551,4785909,8423695,6657793,0,0,4400072,7157525,7780063,5388255,7518404,5976865,4217088,6097937,3883998,8310652,6703880,6738816,6004818,6145515,5359162,4099417,3624637,8559390,7524797,8126389,7780739,7220487,5176521,7563843,4602889,6757520,6725728,6447348,5388410,3362723,5663858,5826959,5989594
4128,347.062,0,0,0,2859397,2746460,0,3469274,0,3551506,3236099,0,0,0,0,3333858,0,4167879,0,0,0,0,3178879,0,0,0,0,3110461,0,0,3202849,0,2982328,3013765,0,2745804,3302982,0,0,0,0,2992765,0,2820725,0,3215070
4138,347.117,180409856,231733568,225116864,239264160,258736256,234354768,215024624,185199376,241369392,230618912,118668936,106146400,176212976,226885424,257029888,230686720,267714784,200536880,170582304,223278128,138134528,239925136,224789280,226360224,213639280,204992000,238683728,158063984,169403104,257686320,258013664,264568784,222165408,241958176,228256992,238619232,184867872,252771504,219543680,229636368,251000976,148752320,217246864,221051312,212921600
4141,347.1347,3790344,3203393,0,2835876,0,4331612,3835902,0,3277619,0,0,0,3395572,0,0,4255753,3568874,3284798,0,3189808,0,3833760,3829548,0,3294322,3204621,2942554,0,0,3151678,3260896,4278232,3166630,3666218,0,3339880,0,3203253,3539075,3963155,3890331,0,3028119,0,3045639
4143,347.1711,3688981,5827921,5095121,5216692,5392533,5974127,3550224,5479217,6224196,5209904,0,0,3953672,7731018,5826327,5959709,7127292,5204812,3926323,5911614,4230168,6369200,5740349,4685751,4249729,4448796,4654697,3536253,4492025,6523725,5708272,6428648,6252982,5230906,4846842,6576761,4318258,5743814,5808275,5325090,6932651,3721176,5797032,4755912,4844828
4152,348.0256,26122066,57948880,38437972,40428328,42517072,41302580,38651320,41577712,41026248,45299852,20996150,10779701,20540900,37396688,39696568,52756968,36168348,33379472,35021484,40007052,12244424,35256624,59376836,32873806,32416216,32550796,63440840,32112262,32629940,39582884,45087592,63406432,27966262,39354036,67595872,36776964,28048742,38698580,42957324,40041084,34691604,24529254,40742452,63191916,29249288
4154,348.0395,0,4100822,4205661,3662637,4598360,4500026,4326848,0,4711119,5701780,0,0,3276269,4088021,5937342,2825712,4797091,3301013,0,3985809,0,4428085,0,3472725,3467742,0,0,3240585,0,4441259,3545967,4367719,3694397,3947194,3842661,4493323,3346795,4732505,3981844,3635840,4692506,0,4553274,3821939,0
4159,348.062,4317023,10533600,7187559,6624055,6931044,8831557,6548939,8961285,7727833,7489693,4034631,0,4784634,8339680,9099465,9630204,6836910,6145182,7105212,4809114,3770842,6637887,8789205,7021919,5886439,6580124,9185238,4822673,5641414,8434867,6749050,11465073,4918087,7446212,8408687,8291350,4517235,7081572,7381534,6595209,6318628,3989880,6999621,11864958,6446877
4160,348.0701,0,5435108,4883563,0,4078184,4305482,3421647,0,4188892,2803872,0,0,0,3463395,3168461,3179009,4414130,4017313,3486399,3091869,0,4306243,4111577,3880291,3321322,3897247,3686361,0,0,3648695,3467133,4937076,4692811,4317896,2729074,4498457,0,3498599,3143201,0,3933735,0,0,0,2908449
4164,348.0984,3889004,4895473,5457016,5858119,4083319,4899417,4753885,3370264,5268201,4745388,0,0,3594766,5789936,6314203,5122576,4370112,4967596,4850380,3183016,0,6426960,4589798,5404017,4622838,4252587,5054437,4427420,3127513,5756098,5102474,6558081,4328280,4388564,3552894,5309479,4728193,4468340,4039214,3024536,5167667,3358089,4422230,4501392,4630322
4165,348.1049,2833263,4705012,3374714,0,4254330,4206172,3803616,0,3191532,3507374,0,0,0,3613939,0,4317716,3759811,3637422,2734799,4488619,0,3013971,0,6151540,3040760,3066798,3272680,0,3587292,0,2747277,0,2897243,0,0,3778602,3506563,3372151,3428401,2866843,0,0,0,0,4422453
4167,348.1599,0,3431181,4118675,0,0,2970233,2723324,0,2838789,0,0,0,0,0,0,0,0,3418307,0,4376000,2890252,0,0,3833230,2749455,0,0,0,0,0,0,0,2751348,0,0,3535427,0,0,2779721,0,0,0,0,0,2987861
4189,349.0412,8104141,9976990,9760296,8559847,9301091,9968718,8148915,6577931,9438358,9234994,3236383,4103753,7028773,8471200,10756778,9088015,10779789,8410645,5009523,7001884,4174802,10781435,8154777,8048437,8270713,7797059,8051049,5682113,6342341,9647677,9520429,9255719,9745669,9930872,8054794,9592286,6823640,9336875,9167825,9290774,9315268,5208903,8716301,7241054,6623572
4191,349.0542,4106450,20372644,5307950,9014508,28075114,26229844,4122553,12005138,10994844,5513783,6881830,5281360,3803180,7332518,5003953,6632470,14824596,6061595,7701624,26818336,11106265,6345473,15431327,9211707,5702527,15520073,13322606,3452357,5375691,6305347,7171379,14947116,5489931,13918334,23326734,23965156,4186845,17461296,12983254,6872091,15129545,9478989,4670483,5311844,5642588
4192,349.0565,0,0,0,0,0,0,0,0,0,0,3047975,0,0,0,0,0,0,2973723,0,0,0,0,4136608,0,0,0,0,0,0,0,0,0,3355916,0,0,0,0,3591218,0,2777116,0,0,0,0,0
4203,349.1041,0,0,0,3229955,0,0,0,0,3257523,0,0,0,0,0,3137225,0,2988204,0,0,0,0,3240728,0,0,0,3513695,0,0,0,4354647,3284297,0,0,0,0,0,0,0,0,2937903,0,0,0,0,0
4208,349.1326,4776175,3967176,4948562,4947216,5051539,5907583,4279264,3615547,6026432,4302424,0,2711161,3999833,5688010,4799191,4240449,4312250,3963449,3218588,4815680,0,6261541,4245187,5793633,4273055,4704619,4192654,4261854,4014836,4574818,5834070,5235536,4501807,5044385,3895344,6100490,3685113,6561878,5481465,5815355,5286891,2859891,5414968,5442954,3801481
4209,349.1504,3279094,4568272,4022874,4612375,5252252,5542024,4510697,3354437,6118600,5669471,2767444,0,3687523,4524754,5091040,4572235,5356739,3336768,2736292,4488007,3033099,5937965,5428940,4592490,4913063,4069746,5377430,3676131,3668734,4802153,5612894,5862232,5860664,5535913,4657208,6682130,3385088,4259934,4715521,4367426,5121010,3613563,3890240,4493715,3573140
4210,349.1868,2873604,4091105,4766315,3532071,4313264,4056220,3381243,3349336,3792089,3287662,0,0,2757240,4631267,4586226,3081311,5165269,3387982,0,0,0,3428157,3481308,3652475,3780534,0,0,0,3393297,5267064,3325294,3429224,4203848,4298937,3297351,3876387,3525389,3745903,3359762,3772497,4636674,2712973,0,0,4069801
4211,349.2418,0,0,0,3254592,0,0,0,2775413,0,0,0,0,0,0,0,2954365,0,0,3620045,0,4747322,0,3113718,0,0,0,3510715,0,0,0,2975111,3352449,0,0,0,0,3124001,0,3095594,0,0,0,0,0,0
4222,350.0412,8270408,18677356,14452727,14550694,14087792,14061157,12925349,14410016,13268574,13442004,8258569,4042846,6896229,12854380,15715481,17241650,12080762,11650971,11449915,12871851,3931614,13143237,20506730,10547480,11494684,9446134,17832710,8526074,9461970,14950351,15896301,19379438,11992787,12796473,20214190,12021685,9629768,14787069,13663630,13766060,13753710,8764712,13132256,19324742,10408861
4224,350.0551,3570253,0,4546558,0,0,0,0,0,0,0,0,0,3988077,0,4633760,2985530,3199617,0,0,0,0,4498636,0,0,0,3273468,3189516,0,0,2943956,4759283,0,3805914,0,0,2923451,3490893,2808324,3153301,3449266,3061108,0,2954727,0,0
4227,350.0759,8741460,30318204,22620166,17159862,14218882,21544568,15145398,12255538,22586990,22739938,0,4636785,9181817,17482876,7574698,21988932,7974540,21223336,21857866,37443768,17480176,18484436,11247738,26280232,13260075,14254854,11139860,14647557,12720356,7065565,8365821,0,19177188,27771464,5138877,30257094,9949269,6874638,26574238,16383418,5143933,14028088,7729649,6069079,19002290
4228,350.0776,7455317,25165436,10643464,14198455,14136963,17911416,10580407,17084724,15959662,12639203,6435867,5265522,10840698,17339516,16116907,18429510,17852044,9725865,13784651,12054713,7279089,11824342,23390330,13328681,11822380,10533638,21441302,8939782,17012966,16568285,13602557,30164222,8668900,14508617,16486845,17280966,8605782,16695822,13999519,12512699,13614462,12655929,12431857,23306072,12878771
4231,350.1027,0,3376776,0,3683010,0,0,0,0,0,0,0,0,0,0,0,0,0,2858931,0,3337412,0,0,0,3771701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4487594,0,0,0,0,0,0
4232,350.1093,4981345,6966923,7858199,7253701,6370964,7933578,5898695,5042500,7745149,6124529,3781675,0,5741197,6190220,7363771,7835223,7042716,6158262,4810330,6121670,3733506,5840101,6731913,6367545,6131002,6712084,6251299,5527824,4688118,7208938,6645516,7945485,7499507,6359640,6660555,8982485,4571233,8165917,5668269,7116232,6823308,4148553,4767232,6463335,6796229
4235,350.1245,0,0,0,2942156,2799259,2989714,3485134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2993984,0,0,0,0,2823934,0,3757842,0,3147514,3203679,0,2820572,0,2764324,3213748,2779086,0,0,0,0,0
4236,350.1358,5014124,8048280,10229795,3736273,4839074,7349912,8460756,7401811,6885001,7883772,0,2827409,4462236,8111256,5054664,12011110,4679337,10258368,6039143,10193105,4497936,7197937,10090646,9361733,6260037,5749536,5158701,5718296,6627588,4752373,6070040,5969177,13459199,5241444,0,6350818,7340139,6369833,7210425,10096083,6460823,3573078,5330445,5039988,7490517
